#,Name of the Plant,Family,Common Name,Herbarium Image and Uses
1252,"
Nardostachys grandiflora DC.
",VALERIANACEAE,"Bal-chir, Jatamansi",  
1253,"
Naringi crenulata (Roxb.) Nicolson
",RUTACEAE,"Beli, Surasi (Sanskrit)",  
1254,"
Nelumbo nucifera Gaertn.
",NYMPHAEACEAE,"Kanwal, Kamal",  
1255,"
Neolitsea cassia (L.) Kosterm.
",LAURACEAE,Kanvel (Mar.),  
1256,"
Olea dioica Roxb.
",OLEACEAE,Atta-jam (Beng.),  
1257,"
Olea europaea L.
",OLEACEAE,Common Olive (Eng.),  
1258,"
Olea ferruginea Royle
",OLEACEAE,"Kahu, Kankao (N.W. Himalayas)",  
1259,"
Olea glandulifera Wall. ex G.Don
",OLEACEAE,Gulili (N.W. Himalayas),  
1260,"
Onosma bracteatum Wall.
",BORAGINACEAE,"Gaozaban, Shankhahuli",  
1261,"
Onosma hispidum Wall. ex G.Don
",BORAGINACEAE,Ratanjot,  
1262,"
Ophioglossum vulgatum L.
",OPHIOGLOSSACEAE,Adder's-tongue (Eng.),  
1263,"
Ophiorrhiza mungos L.
",RUBIACEAE,Sarahati,  
1264,"
Opuntia coccinellifera Mill.
",CACTACEAE,Cochineal Cactus (Eng.),  
1265,"
Opuntia nigricans Haw.
",CACTACEAE,Nagadali (Tam.),  
1266,"
Oreocnide integrifolia Miq.
",URTICACEAE,Lipe (Nepal),  
1267,"
Origanum vulgare L.
",LAMIACEAE,Sathra,  
1268,"
Ormocarpum sennoides DC.
",FABACEAE,Kananashekhara (Sans.),  
1269,"
Orobanche aegyptiaca Pers.
",OROBANCHACEAE,"Sarsan-banda, Bhatua ghas",  
1270,"
Oroxylum indicum (L.) Vent.
",BIGNONIACEAE,"Ullu, Saona",  
1271,"
Orthosiphon grandiflorus Boldingh.
",LAMIACEAE,Java tea (Eng.),  
1272,"
Orthosiphon pallidus Royle ex Benth.
",LAMIACEAE,Arjaka (Sans.),  
1273,"
Osbeckia crinita Benth.
",MELASTOMATACEAE,Handi samba (Bhutan),  
1274,"
Osbeckia nepalensis Hook.
",MELASTOMATACEAE,Baga phatkala (Assam),  
1275,"
Osmanthus fragrans Lour.
",OLEACEAE,Silang (U.P. Hills),  
1276,"
Osmunda regalis L.
",OSMUNDACEAE,Royal Fern (Eng.),  
1277,"
Ougeinia oojeinensis (Roxb.) Hochr.
",FABACEAE,"Sandan, Panjan",  
1278,"
Ouratea angustifolia Baill. ex Laness.
",OCHNACEAE,Valermani (Mar.),  
1279,"
Oxalis corniculata L.
",OXALIDACEAE,"Tinpatiya, Amrul (Beng.)",  
1280,"
Oxyria digyna (L.) Hill
",POLYGONACEAE,Amlu (Punjab),  
1281,"
Oxystelma secamone (L.) K.Schum.
",ASCLEPIADACEAE,Dudhialata,  
1282,"
Pachyrrhizus erosus (L.) Urban
",FABACEAE,Sankalu,  
1283,"
Paederia scandens (Lour.) Merr.
",RUBIACEAE,"Gandha prasarini, Somaraji",  
1284,"
Paeonia emodi Wall. ex Hook.f.
",PAEONIACEAE,Chandayra,  
1285,"
Pajanelia longifolia (Willd.) K.Schum.
",BIGNONIACEAE,Doundi (Mar.),  
1286,"
Panax pseudo-ginseng Wall.
",ARALIACEAE,Asiatic or Chinese Ginseng (Eng.),  
1287,"
Panicum antidotale Retz.
",POACEAE,Gunara,  
1288,"
Panicum incomtum Trin.
",POACEAE,Cheen,  
1289,"
Panicum maximum Jacq.
",POACEAE,Gini pullu; Gini hullu (Tam.),  
1290,"
Papaver argemone L.
",PAPAVERACEAE,"Bharbhand, Seyalkata (Beng.)",  
1291,"
Papaver dubium L.
",PAPAVERACEAE,Long-Head Poppy (Eng.),  
1292,"
Papaver hybridum L.
",PAPAVERACEAE,Rough Poppy (Eng.),  
1293,"
Papaver nudicaule L.
",PAPAVERACEAE,Iceland Poppy (Eng.),  
1294,"
Papaver orientale L.
",PAPAVERACEAE,Oriental Poppy (Eng.),  
1295,"
Papaver rhoeas L.
",PAPAVERACEAE,"Lalpost, Post",  
1296,"
Papaver somniferum L.
",PAPAVERACEAE,"Aphim, Posto (Beng.)",  
1297,"
Paracalyx scariosa (Roxb.) Ali
",FABACEAE,"Simbi, Toranvel (Local nmaes)",  
1298,"
Parameria polyneura Hook.f.
",APOCYNACEAE,Mikirtengalata (Assam),  
1299,"
Paramignya angulata Kurz
",RUTACEAE,Ban nimbu (Beng.),  
1300,"
Paramignya monophylla Wight
",RUTACEAE,Kurwa-wagutti (Mar.),  
1301,"
Parsonsia helicandra Hook. & Arn.
",APOCYNACEAE,Penalivalli (Mal.),  
1302,"
Paspalum scrobiculatum L.
",POACEAE,"Kodo, Kodra",  
1303,"
Passiflora edulis Sims
",PASSIFLORACEAE,Passion Fruit (Eng.),  
1304,"
Passiflora foetida L.
",PASSIFLORACEAE,"Jhumkalata, Tellajumiki (Tel.)",  
1305,"
Pavetta crassicaulis Bremek.
",RUBIACEAE,"Kankra, Papari",  
1306,"
Pavonia odorata Willd.
",MALVACEAE,Sugandha-bala,  
1307,"
Pavonia zeylanica (L.) Cav.
",MALVACEAE,Pera mutti (Tel.),  
1308,"
Pedalium murex L.
",PEDALIACEAE,"Bara-gokhru, Kadvagokkru",  
1309,"
Pedicularis pectinata Wall. ex Benth.
",SCROPHULARIACEAE,Mishran (Punjab),  
1310,"
Pedicularis siphonantha D.Don
",SCROPHULARIACEAE,Tube Lousewort (Eng.),  
1311,"
Pedilanthus tithymaloides (L.) Poit.
",EUPHORBIACEAE,"Nagdaman, Rangchita (Beng.)",  
1312,"
Peganum harmala L.
",RUTACEAE,"Harmal, Isband-lahouri",  
1313,"
Pelargonium graveolens L'Herit.
",GERANIACEAE,Rose-Scented Geranium (Eng.),  
1314,"
Pellaea hastata (Thunb.) Prantl.
",ADIANTACEAE,Cliff brake (Eng.),  
1315,"
Pentapetes phoenicea L.
",STERCULIACEAE,Dopahariya,  
1316,"
Pentatropis spiralis (Forsk.) Decne
",ASCLEPIADACEAE,Kauathodi,  
1317,"
Pergularia daemia (Forsk.) Choiv.
",ASCLEPIADACEAE,"Uttaranajutuka, Sagovani",  
1318,"
Pericampylus glaucus (Lam.) Miers.
",MENISPERMACEAE,Barakkanta,  
1319,"
Perilepta auriculata (Nees) Bremek
",ACANTHACEAE,Phandadi (Guj),  
1320,"
Perilla frutescens (L.) Britton
",LAMIACEAE,Bhanjira,  
1321,"
Periploca aphylla Decne.
",PERIPLOCACEAE,Bata (Punjab),  
1322,"
Peristrophe bicalyculata (Retz.) Nees
",ACANTHACEAE,Atrilal,  
1323,"
Peristrophe roxburghiana (Roem. & Schult.) Bremek.
",ACANTHACEAE,Magenta plant (Eng.),  
1324,"
Perovskia abrotanoides Kar.
",LAMIACEAE,Shanshohai (Pushtu),  
1325,"
Petroselinum crispum (Mill.) Airy-Shaw
",APIACEAE,Achu mooda (Kan.),  
1326,"
Peucedanum dhana Buch.-Ham. ex C.B.Clarke
",APIACEAE,Bhoj raj (Bihar),  
1327,"
Peucedanum grande C.B.Clarke
",APIACEAE,Duku,  
1328,"
Peucedanum nagpurense Prain
",APIACEAE,Tej raj (Beng.),  
1329,"
Phaseolus adenanthus G.F.Meyer
",FABACEAE,Banbarbati (Beng.),  
1330,"
Phaseolus lunatus L.
",FABACEAE,Sem,  
1331,"
Phaseolus vulgaris L.
",FABACEAE,"Bakla, Lobia",  
1332,"
Phlogacanthus thyrsiflorus (Roxb.) Nees
",ACANTHACEAE,Banheka (Assam),  
1333,"
Phoenix dactylifera L.
",ARECACEAE,Kejuri (Assamese),  
1334,"
Phoenix pusilla Gaertn.
",ARECACEAE,"Chiruata-ita, chitti-ita (Tel.)",  
1335,"
Phoenix sylvestris (L.) Roxb.
",ARECACEAE,"Khajur, Khajuri",  
1336,"
Phyla nodiflora (L.) Greene
",VERBENACEAE,"Jalpapli, Panisigaa",  
1337,"
Phyllanthus acidus (L.) Skeels
",EUPHORBIACEAE,"Chalmeri, Harfarauri",  
1338,"
Phyllanthus fraternus Webster
",EUPHORBIACEAE,"Jaramla, Jangli amli",  
1339,"
Phyllanthus maderaspatensis L.
",EUPHORBIACEAE,"Kanocha, Bazarmani",  
1340,"
Phyllanthus urinaria L.
",EUPHORBIACEAE,"Lal-bhuin anvalah, Hazarmani",  
1341,"
Phyllanthus virgatus Forst.
",EUPHORBIACEAE,Bhuiavali (Mar.),  
1342,"
Phyllochlamys taxoides Koord.
",MORACEAE,Sheora (Beng.),  
1343,"
Physalis angulata L.
",SOLANACEAE,Popti (Mar.),  
1344,"
Physalis minima L.
",SOLANACEAE,Tulati pati,  
1345,"
Physalis peruviana L.
",SOLANACEAE,Tipari,  
1346,"
Physochlaina praealta (Walp.) Hook.f.
",SOLANACEAE,Sholar (Punjab),  
1347,"
Phytolacca acinosa Roxb.
",PHYTOLACCACEAE,"Matazor, Sarangum",  
1348,"
Picororhiza kurroa Royle ex Benth.
",SCROPHULARIACEAE,"Kuru, Kutki",  
1349,"
Picrasma javanica Blume
",SIMAROUBACEAE,Bonposhla (Assam),  
1350,"
Picrasma quassioides (D.Don) Benn.
",SIMAROUBACEAE,"Bharangi, Charangi",  
1351,"
Picris hieracioides L.
",ASTERACEAE,Hawk Weed (Eng.),  
1352,"
Pilea microphylla (L.) Liebm.
",URTICACEAE,Artillery Plant (Eng.),  
1353,"
Pimpinella anisum L.
",APIACEAE,"Saunf, Badian",  
1354,"
Pimpinella heyneana Wall.
",APIACEAE,Selvanthachedi (Tamil),  
1355,"
Pinanga dicksonii (Roxb.) Scheffer
",ARECACEAE,"Mala-adakka (Malayalam, Kaana Kamugu) (Tam.)",  
1356,"
Pinus gerardiana Wall. ex Lamb
",PINACEAE,"Chilgoza, Neoza (seeds)",  
1357,"
Pinus roxburghii Sargent.
",PINACEAE,"Chir, Cheed",  
1358,"
Piper cubeba L.f.
",PIPERACEAE,Kabab chini,  
1359,"
Piper longum L.
",PIPERACEAE,"Pipal, Pipli",  
1360,"
Piper retrofractum Vahl
",PIPERACEAE,"Chab, Chavi",  
1361,"
Piper sarmentosum Roxb.
",PIPERACEAE,"Tippili (Tam.), Pipul (Beng.)",  
1362,"
Piper sylvaticum Roxb.
",PIPERACEAE,Pahari pipul (Beng.),  
1363,"
Piper trioicum Roxb.
",PIPERACEAE,Kattumulaku (Malayalam),  
1364,"
Piper wallichii (Miq.) Hand.-Mazz.
",PIPERACEAE,Shambhaluka,  
1365,"
Pisonia mitis L.
",NYCTAGINACEAE,Lechai (Tam.),  
1366,"
Pistacia kinjuk Stocks
",ANACARDIACEAE,"Kakra, Kakri (N.W. Himalayas)",  
1367,"
Pistacia lentiscus L.
",ANACARDIACEAE,Mastic Tree,  
1368,"
Pistacia vera L.
",ANACARDIACEAE,Pistachio (Eng.),  
1369,"
Pistia stratiotes L.
",ARACEAE,"Jalkhumbi, Takapana",  
1370,"
Pisum sativum L.
",FABACEAE,Matar,  
1371,"
Pithecellobium angulatum Benth.
",MIMOSACEAE,Bhasahu (Assam),  
1372,"
Pithecellobium clypearia Benth.
",MIMOSACEAE,Bhasahu (Assam),  
1373,"
Pithecellobium dulce (Roxb.) Benth.
",MIMOSACEAE,"Vilayati babul, Vilayati Imli",  
1374,"
Pithecellobium monadelphum (Roxb.) Koster
",MIMOSACEAE,Kachlora,  
1375,"
Pittosporum napaulense (DC.) Rehder & E.H.Wilson
",PITTOSPORACEAE,"Tumari (Hindi), Vikhari (Mar.)",  
1376,"
Plantago amplexicaulis Cav.
",PLANTAGINACEAE,Isafghol (Punjab),  
1377,"
Plantago himalaica Pilger
",PLANTAGINACEAE,Ashwakarn,  
1378,"
Plantago lanceolata L.
",PLANTAGINACEAE,Baltanga,  
1379,"
Plantago major L.
",PLANTAGINACEAE,"Gul, Isafghol (Kashmir)",  
1380,"
Plantago ovata Forsk.
",PLANTAGINACEAE,Isubgol,  
1381,"
Plantago psyllium L.
",PLANTAGINACEAE,Kala isabgol,  
1382,"
Platanus orientalis L.
",PLATANACEAE,Chinar (Kashmir),  
1383,"
Plectranthus mollis (Aiton) Spreng.
",LAMIACEAE,Lal-agada (Bombay),  
1384,"
Pleopeltis macrocarpa (Borry ex Willd.) Kaulf.
",POLYPODIACEAE,Lance fern (Eng.),  
1385,"
Plesmonium margaritiferum (Roxb.) Schott
",ARACEAE,Gajeer mul (Beng.),  
1386,"
Pluchea indica Less.
",ASTERACEAE,"Kukronda, Munjhu rukha",  
1387,"
Pluchea lanceolata (DC.) C.B.Clarke
",ASTERACEAE,"Rasana, Rashana",  
1388,"
Plumbago indica L.
",PLUMBAGINACEAE,"Chitra, Lal chita",  
1389,"
Plumbago zeylanica L.
",PLUMBAGINACEAE,"Chita, Chitarak",  
1390,"
Plumeria alba L.
",APOCYNACEAE,Veyvi varahaalu (Tel.),  
1391,"
Plumeria rubra L.
",APOCYNACEAE,Lal Champa (Mar.),  
1392,"
Plumeria rubra L. forma acuminata
",APOCYNACEAE,Lal Champa (Mar.),  
1393,"
Podocarpus neriifolia D.Don
",PODOCARPACEAE,Halis,  
1394,"
Pogostemon benghalense (Burm.) Kuntze
",LAMIACEAE,Jui-lata (Beng.),  
1395,"
Pogostemon heyneanus Benth.
",LAMIACEAE,"Pacholi, Peholi",  
1396,"
Pogostemon parviflorus Benth.
",LAMIACEAE,"Phangla, Pangli (Mar.)",  
1397,"
Pogostemon purpurascens Dalzell
",LAMIACEAE,Sangbrei (Manipuri),  
1398,"
Polyalthia longifolia (Sonn.) Thwaites
",ANNONACEAE,"Asoka, Debdari",  
1399,"
Polycarpea corymbosa (L.) Lam.
",CARYOPHYLLACEAE,Jinapanano (Guj.),  
1400,"
Polycarpon prostratum (Forsk.) Aschers. & Schweinf.
",CARYOPHYLLACEAE,Sureta,  
1401,"
Polygala crotalarioides Buch.-Ham. ex DC.
",POLYGALACEAE,Lil kathi (Santal),  
1402,"
Polygala elongata Klein ex Willd.
",POLYGALACEAE,Periyananka (Mal.),  
1403,"
Polygala glomerata Lour.
",POLYGALACEAE,Meradu,  
1404,"
Polygala sibirica L.
",POLYGALACEAE,Common Milkwort (Eng.),  
1405,"
Polygala telephioides Willd.
",POLYGALACEAE,"Meradu, Miragu",  
1406,"
Polygonatum multiflorum (L.) Allioni
",LILIACEAE,Solmon's Seal (Eng.),  
1407,"
Polygonum aviculare L.
",POLYGONACEAE,"Machoti, Ban-natia",  
1408,"
Polygonum barbatum L.
",POLYGONACEAE,Bekh-unjubaz (Beng.),  
1409,"
Polygonum chinense L.
",POLYGONACEAE,Paral (Mar.),  
1410,"
Polygonum glabrum Willd.
",POLYGONACEAE,"Panimircha, Bihagni (Beng.)",  
1411,"
Polygonum hydropiper L.
",POLYGONACEAE,Pani-mari,  
1412,"
Polygonum molle D.Don
",POLYGONACEAE,Kochomah (Assam),  
1413,"
Polygonum nepalense Meissn.
",POLYGONACEAE,Kangany-machan-pillu (Tam.),  
1414,"
Polygonum orientale L.
",POLYGONACEAE,"Machoti, Bara pani mirich (Beng.)",  
1415,"
Polygonum persicaria L.
",POLYGONACEAE,Lady's Thumb (Eng.),  
1416,"
Polygonum plebeium R.Br.
",POLYGONACEAE,"Chemti sag, Dubia sag (Beng.)",  
1417,"
Polygonum polystachyum Wall. ex Meissn.
",POLYGONACEAE,Amldandi (Punjab),  
1418,"
Polygonum tenellum Blume
",POLYGONACEAE,Pygmy Smartweed (Eng.),  
1419,"
Polygonum virginianum L.
",POLYGONACEAE,Jumpseed (Eng.),  
1420,"
Polygonum viviparum L.
",POLYGONACEAE,"Maslun, Mameche (Punjab)",  
1421,"
Polypodium vulgare L.
",POLYPODIACEAE,Basfaij (Ind. Baz.),  
1422,"
Polyscias fruticosa (L.) Harms
",ARALIACEAE,Ming Aralia (Chinese),  
1423,"
Populus alba L.
",SALICACEAE,Fras (Kashmir),  
1424,"
Populus euphratica Oliv.
",SALICACEAE,"Hotung, Hodung (Ladakh)",  
1425,"
Portulaca oleracea L.
",PORTULACACEAE,"Khursa, Baralaniya",  
1426,"
Portulaca pilosa L.
",PORTULACACEAE,Koli mulaiyan (Tamil),  
1427,"
Portulaca quadrifida L.
",PORTULACACEAE,"Chounlayi, Chotalunia",  
1428,"
Potentilla anserina L.
",ROSACEAE,Silver weed (Eng.),  
1429,"
Potentilla arbuscula D.Don
",ROSACEAE,Merino (Punjab),  
1430,"
Potentilla lineata Trevir ex Reich.
",ROSACEAE,Bhuitara (Beng.),  
1431,"
Potentilla nepalensis Hook.
",ROSACEAE,Rattanjot (Punjab),  
1432,"
Potentilla reptans L.
",ROSACEAE,Five-finger grass (Eng.),  
1433,"
Potentilla sundaica (Blume) Kuntze
",ROSACEAE,Tilipalang (Nepali),  
1434,"
Potentilla supina L.
",ROSACEAE,"Karnali, Kanikar (Guj.)",  
1435,"
Pothos cathcartii Schott
",ARACEAE,Hathi Denkiya,  
1436,"
Pothos scandens L.
",ARACEAE,"Parisa, Paruvakodi (Mal.)",  
1437,"
Pouzolzia sanguinea (Blume) Merr.
",URTICACEAE,Misagi-jollaphang (Assam),  
1438,"
Pouzolzia zeylanica (L.) Benn.
",URTICACEAE,"Piparisari, Eddu (Tel.)",  
1439,"
Prangos pabularia Lindl.
",APIACEAE,Komal,  
1440,"
Pratia nummularia (Lam.) A.Braun & Asch.
",CAMPANULACEAE,Chaokathi (Lushai),  
1441,"
Premna corymbosa Rottler & Willd.
",VERBENACEAE,"Agetha, Arni",  
1442,"
Premna divaricata Wall.
",VERBENACEAE,Headache tree (Eng.),  
1443,"
Premna latifolia Roxb.
",VERBENACEAE,Pedda-nelli koora (Tel.),  
1444,"
Premna tomentosa Willd.
",VERBENACEAE,Chambara (Mar.),  
1445,"
Primula reticulata Wall.
",PRIMULACEAE,Bishkopra (Kumaun),  
1446,"
Prinsepia utilis Royle
",ROSACEAE,"Bekkra, Bhekal",  
1447,"
Prosopis chilensis (Molana) Stuntze
",MIMOSACEAE,"Vilayati kikkar, Kabuli kikkar",  
1448,"
Prosopis cineraria (L.) Druce
",MIMOSACEAE,"Jand, Chaunkra",  
1449,"
Prunella vulgaris L.
",LAMIACEAE,Dharu,  
1450,"
Prunus armeniaca L.
",ROSACEAE,"Zardalu, Khubani",  
1451,"
Prunus avium L.
",ROSACEAE,Gilas (Kumaun),  
1452,"
Prunus cerasoides D.Don
",ROSACEAE,"Paddam, Payan",  
1453,"
Prunus cerasus L.
",ROSACEAE,Alubalu,  
1454,"
Prunus ceylanica (Wight) Miq.
",ROSACEAE,Galmorre (Beng.),  
1455,"
Prunus domestica L.
",ROSACEAE,"Alu, Alucha, Shanalu, Alubukhara, Alucha",  
1456,"
Prunus dulcis (Mill.) D.A.Webb.
",ROSACEAE,Badam,  
1457,"
Prunus mahaleb L.
",ROSACEAE,Mahaleb Cherry (Eng.),  
1458,"
Prunus persica (L.) Batsch
",ROSACEAE,"Aru, Shaftalu",  
1459,"
Prunus salicina Lindl.
",ROSACEAE,Japanese plum (Eng.),  
1460,"
Prunus undulata Buch.-Ham. ex D.Don
",ROSACEAE,"Aria, Gadharu",  
1461,"
Psammogeton canescens (DC.) Vatke
",APIACEAE,Gargira (Punjab),  
1462,"
Pseudarthria viscida (L.) Wight & Arn.
",FABACEAE,"Sanaparni (Sans.), Chapakno velo (Guj.)",  
1463,"
Psidium guajava L.
",MYRTACEAE,"Amrud, Safed safari",  
1464,"
Psoralea corylifolia L.
",FABACEAE,"Babachi, Babehibavanchi",  
1465,"
Pteridium aquilinum (L.) Kuhn.
",DENNSTAEDTIACEAE,Parnai (Tam.),  
1466,"
Pterocarpus indicus Willd.
",FABACEAE,Vengai (Tam.),  
1467,"
Pterocarpus marsupium Roxb.
",FABACEAE,"Bijasal, Bija",  
1468,"
Pterocarpus santalinus L.f.
",FABACEAE,"Raktachandan, Lalchandan",  
1469,"
Pterocymbium javanicum R.Br.
",STERCULIACEAE,Tshaw (Burma),  
1470,"
Pterospermum acerifolium (L.) Willd.
",STERCULIACEAE,Kanakchampa,  
1471,"
Pterospermum suberifolium Lam.
",STERCULIACEAE,"Moochukund, Tada (Tel.)",  
1472,"
Pterospermum xylocarpum (Gaertn.) Oken
",STERCULIACEAE,Lolgu (Tel.),  
1473,"
Pueraria phaseoloides (Roxb.) Benth.
",FABACEAE,Jermei-kyn-saw (Assam),  
1474,"
Pueraria tuberosa (Roxb. ex Willd.) DC.
",FABACEAE,"Sural, Bilaikand",  
1475,"
Pulicaria crispa (Forssk.) Benth.
",ASTERACEAE,Burhna,  
1476,"
Pulicaria dysenterica (L.) Gaeertn.
",ASTERACEAE,Common fleabane (Eng.),  
1477,"
Punica granatum L.
",PUNICACEAE,"Anar, Dalim (Beng.)",  
1478,"
Quercus infectoria Oliv.
",FAGACEAE,"Majuphal, Mazu",  
1479,"
Quercus lamellosa Sm.
",FAGACEAE,Falant (Nepali),  
1480,"
Quercus leucotrichophora A.Camus ex Bahadur
",FAGACEAE,"Sila supari, Iri (Kashmir)",  
1481,"
Quercus pachyphylla Kurz
",FAGACEAE,Badaa Katus (Nepali),  
1482,"
Quisqualis indica L.
",COMBRETACEAE,Rangoon ki bel,  
1483,"
Radermachera xylocarpa (Roxb.) K.Schum.
",BIGNONIACEAE,Kharsing,  
1484,"
Randia cochinchinensis (Lour.) Merr.
",RUBIACEAE,Dieng-iong-blei (Khasi Hills),  
1485,"
Randia longiflora Lam.
",RUBIACEAE,Pulikaint (Assam),  
1486,"
Randia tomentosa Hook.f.
",RUBIACEAE,Mainphal,  
1487,"
Ranunculus aquatilis L.
",RANUNCULACEAE,Water-Crowfoot (Eng.),  
1488,"
Ranunculus arvensis L.
",RANUNCULACEAE,Chambul (Punjab),  
1489,"
Ranunculus cantoniensis DC.
",RANUNCULACEAE,Chinese Buttercup (Eng.),  
1490,"
Ranunculus lingua L.
",RANUNCULACEAE,Great Spearwort (Eng.),  
1491,"
Ranunculus muricatus L.
",RANUNCULACEAE,Rough-fruited Buttercup (Eng.),  
1492,"
Ranunculus sceleratus L.
",RANUNCULACEAE,Jaldhania,  
1493,"
Raphanus sativus L.
",BRASSICACEAE,"Muli, Muri",  
1494,"
Rauvolfia sarpentina (L.) Benth. ex Kurz
",APOCYNACEAE,"Chandrabhaga, Chota chand",  
1495,"
Rauvolfia tetraphylla L.
",APOCYNACEAE,Barachandrika,  
1496,"
Reinwardtia indica Dumort.
",LINACEAE,Basanthi,  
1497,"
Reissantia indica (Willd.) Halle
",HIPPOCRATEACEAE,Atari-lata (Beng.),  
1498,"
Remusatia vivipara (Roxb.) Schott
",ARACEAE,Rukhalu,  
1499,"
Reseda odorata L.
",RESEDACEAE,Mignonette (Eng.),  
1500,"
Rhamnus nepalensis (Wall.) M.A.Lawson
",RHAMNACEAE,Biringa (Assam),  
1501,"
Rhamnus purpureus Edgew.
",RHAMNACEAE,Purple Buckthorn (Eng.),  
1502,"
Rhamnus triquetra Wall. ex Roxb.
",RHAMNACEAE,"Gudlei, Fagora (Punjab)",  
1503,"
Rhamnus virgatus Roxb.
",RHAMNACEAE,"Chato, Chadua",  
1504,"
Rhamnus wightii Wight & Arn.
",RHAMNACEAE,Wight's Buckthorn (Eng.),  
1505,"
Rheum emodi Wall. ex Meissn.
",POLYGONACEAE,Hindirevandchini,  
1506,"
Rheum spiciforme Royle
",POLYGONACEAE,Archu (Garhwal),  
1507,"
Rheum webbianum Royle
",POLYGONACEAE,Archu (Garhwal),  
1508,"
Rhinacanthus nasuta (L.) Kurz
",ACANTHACEAE,Palak juhi,  
1509,"
Rhizophora mucronata Lam.
",RHIZOPHORACEAE,"Kamo, Bhora (Beng.)",  
1510,"
Rhodamnia trinervia Blume
",MYRTACEAE,Brown Mallet-Wood (Eng.),  
1511,"
Rhododendron anthopogon D.Don
",ERICACEAE,Nichni (Punjab),  
1512,"
Rhododendron arboreum Sm.
",ERICACEAE,Burans,  
1513,"
Rhododendron campanulatum D.Don
",ERICACEAE,Cherailu,  
1514,"
Rhododendron lepidotum Wall. ex G.Don
",ERICACEAE,Talisfur (Punjab),  
1515,"
Rhododendron setosum D.Don
",ERICACEAE,Tsalluo (Bhutan),  
1516,"
Rhodomyrtus tomentosa Wight
",MYRTACEAE,Kattupera (Malayalam),  
1517,"
Rhus coriaria L.
",ANACARDIACEAE,Sicilian Sumac (Eng.),  
1518,"
Rhus hookeri K.C.Sahni & Bahadur
",ANACARDIACEAE,Momphulai (Beng.),  
1519,"
Rhus javanica L.
",ANACARDIACEAE,Nutgall tree (Eng.),  
1520,"
Rhus parviflora Roxb. ex DC.
",ANACARDIACEAE,"Tung, Raitung",  
1521,"
Rhus punjabensis J.L.Stew. ex Brand.
",ANACARDIACEAE,Dor (Punjab),  
1522,"
Rhus succedanea L.
",ANACARDIACEAE,Kakra-singi,  
1523,"
Rhynchosia minima (L.) DC.
",FABACEAE,Daktaranghevda (Mar.),  
1524,"
Rhynchostylis retusa (L.) Blume
",ORCHIDACEAE,Draupadi mala,  
1525,"
Ribes alpestre Wall. ex Decne.
",GROSSULARIACEAE,Amlanch (Punjab),  
1526,"
Ribes orientalis Desf.
",GROSSULARIACEAE,Askuta (Ladakh),  
1527,"
Ricinus communis L.
",EUPHORBIACEAE,Erandi,  
1528,"
Rivea ornata (Roxb.) Choisy.
",CONVOLVULACEAE,Phanji (Sans.),  
1529,"
Rorippa indica (L.) Hiern
",BRASSICACEAE,Chamsuru,  
1530,"
Rorippa islandica (Oeder) Borbás
",BRASSICACEAE,Yellow marshcress (Eng.),  
1531,"
Rorippa nasturtium-aquaticum (L.) Hayek
",BRASSICACEAE,"Chhuch, Jal-indushoor",  
1532,"
Rosa banksiae R.Br.
",ROSACEAE,Bank's Rose,  
1533,"
Rosa brunonii Lindl.
",ROSACEAE,"Kuji, Kunja",  
1534,"
Rosa centifolia L.
",ROSACEAE,Gulab,  
1535,"
Rosa damascena Mill.
",ROSACEAE,Fasli Gulab,  
1536,"
Rosa multiflora Thunb.
",ROSACEAE,Multiflora Rose (Eng.),  
1537,"
Roscoea purpurea Sm.
",ZINGIBERACEAE,Rasagaree (Nepali),  
1538,"
Rosmarinus officinalis L.
",LAMIACEAE,Rusmari,  
1539,"
Rotula aquatica Lour.
",BORAGINACEAE,Sherni (Mar.),  
1540,"
Roylea cineria (D.Don) Baill.
",LAMIACEAE,Patkarru,  
1541,"
Rubia cordifolia L.
",RUBIACEAE,"Manjit, Manjitha",  
1542,"
Rubia tinctorum L.
",RUBIACEAE,Bacho (Punjab),  
1543,"
Rubus moluccanus L.
",ROSACEAE,Katsoi (Kumaun),  
1544,"
Rumex acetosa L.
",POLYGONACEAE,Khatta palak,  
1545,"
Rumex acetosella L.
",POLYGONACEAE,Chuk,  
1546,"
Rumex crispus L.
",POLYGONACEAE,Yellow Dock (Eng.),  
1547,"
Rumex dentatus L.
",POLYGONACEAE,"Ambavah, Amrule",  
1548,"
Rumex maritimus L.
",POLYGONACEAE,"Jub-palum, Jungli palak",  
1549,"
Rumex nepalensis Spreng.
",POLYGONACEAE,Pahari palang,  
1550,"
Rumex scutatus L.
",POLYGONACEAE,Ambavati,  
1551,"
Rungia parviflora (Retz.) Nees
",ACANTHACEAE,Moto khadsalyo (Guj.),  
1552,"
Rungia repens (L.) Nees
",ACANTHACEAE,Kharmor,  
1553,"
Ruta graveolens L.
",RUTACEAE,Garden Rue (Eng.),  
1554,"
Saccharum bengalense Retz.
",POACEAE,Kans,  
1555,"
Saccharum spontaneum L.
",POACEAE,"Kans, Kas",  
1556,"
Sageraea laurifolia (Grah.) Blatter
",ANNONACEAE,"Sageree, Harkinjal (Mar.)",  
1557,"
Sagittaria sagittifolia L.
",ALISMATACEAE,"Chhoto-kut, Muya Muya (Beng.)",  
1558,"
Salacia chinensis L.
",CELASTRACEAE,"Saptrangi, Dimal (Beng.)",  
